id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2019-10-08T08:03:50;North Dakota Garden;false;1;1
2;2019-10-08T06:35:55;Specialist generating;true;2;2
3;2019-10-08T09:35:15;Small Fresh Gloves;false;3;3
4;2019-10-07T21:25:47;interface;true;4;4
5;2019-10-07T15:50:24;lavender;true;5;5
6;2019-10-07T23:20:43;backing up;false;6;6
7;2019-10-07T21:34:02;Peru deposit;true;7;7
8;2019-10-08T07:08:01;Analyst card Licensed Cotton Ball;false;8;8
9;2019-10-07T23:47:04;Gorgeous Electronics Brand;true;9;9
10;2019-10-08T00:02:24;Som Rustic Frozen Keyboard ROI;false;10;10
